"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,All U.S. Parent Companies (data for 2009 and forward),Employment" 
"Bureau of Economic Analysis" 
"By Industry of U.S. Parent Company (NAICS) (Thousands of Employees) <br/>"
"","Employees","Employees","Employees","Employees","Employees","Employees","Employees","Employees","Employees","Employees","Employees"
"    Basic chemicals",96.6                    ,98.6                    ,89.9                    ,93.1                    ,92.1                    ,106.6                   ,109.3                   ,114.4                   ,123.0                   ,128.5                   ,128.7                   
"    Resins and synthetic rubber, fibers, and filaments",79.9                    ,75.6                    ,80.7                    ,76.0                    ,72.4                    ,77.7                    ,86.7                    ,84.9                    ,82.2                    ,82.1                    ,61.9                    
"    Pharmaceuticals and medicines",397.5                   ,385.2                   ,370.1                   ,371.5                   ,377.2                   ,435.8                   ,412.6                   ,407.4                   ,416.3                   ,415.8                   ,414.4                   
"    Soap, cleaning compounds, and toilet preparations",100.9                   ,108.6                   ,106.7                   ,104.2                   ,105.7                   ,135.7                   ,132.4                   ,145.8                   ,149.3                   ,152.4                   ,145.8                   
"    Other",124.1                   ,127.6                   ,119.5                   ,116.8                   ,117.4                   ,134.5                   ,133.1                   ,131.1                   ,141.9                   ,140.6                   ,173.8                   
"  Plastics and rubber products",276.2                   ,276.6                   ,280.0                   ,297.8                   ,270.1                   ,323.3                   ,315.0                   ,312.7                   ,304.7                   ,309.9                   ,339.2                   
"  Nonmetallic mineral products",107.8                   ,94.4                    ,97.1                    ,93.3                    ,91.5                    ,88.1                    ,88.9                    ,81.7                    ,77.7                    ,80.5                    ,65.4                    
"  Primary and fabricated metals",363.9                   ,389.5                   ,426.5                   ,401.6                   ,378.4                   ,462.9                   ,452.5                   ,435.1                   ,437.8                   ,477.9                   ,470.0                   
"    Primary metals",208.4                   ,228.4                   ,266.3                   ,243.0                   ,235.6                   ,279.9                   ,273.8                   ,267.8                   ,270.4                   ,273.9                   ,263.6                   
"    Fabricated metal products",155.5                   ,161.2                   ,160.2                   ,158.6                   ,142.8                   ,183.0                   ,178.7                   ,167.2                   ,167.4                   ,204.0                   ,206.4                   
"  Machinery",507.6                   ,536.5                   ,563.7                   ,568.2                   ,594.5                   ,532.4                   ,571.2                   ,550.6                   ,516.8                   ,574.8                   ,612.7                   
"    Agriculture, construction, and mining machinery",140.4                   ,151.1                   ,173.2                   ,178.8                   ,187.6                   ,182.0                   ,174.3                   ,143.0                   ,137.2                   ,147.4                   ,146.0                   
"    Industrial machinery",100.8                   ,109.9                   ,114.3                   ,111.0                   ,122.7                   ,138.5                   ,130.7                   ,136.1                   ,92.0                    ,92.3                    ,95.7                    
"    Other",266.4                   ,275.5                   ,276.2                   ,278.4                   ,284.2                   ,211.9                   ,266.3                   ,271.5                   ,287.5                   ,335.0                   ,371.1                   
"  Computers and electronic products",891.6                   ,835.3                   ,921.4                   ,890.4                   ,887.2                   ,955.1                   ,942.8                   ,964.4                   ,923.5                   ,998.8                   ,963.2                   
"    Computers and peripheral equipment",254.4                   ,202.5                   ,210.2                   ,212.1                   ,208.7                   ,218.7                   ,228.5                   ,253.0                   ,214.0                   ,221.4                   ,222.6                   
"    Communications equipment",110.6                   ,103.9                   ,112.7                   ,93.8                    ,90.7                    ,97.0                    ,111.8                   ,113.9                   ,105.1                   ,106.0                   ,102.3                   
"    Audio and video equipment",21.2                    ,21.0                    ,21.7                    ,22.4                    ,22.9                    ,26.5                    ,"K","K","J","L","K"
"    Semiconductors and other electronic components",217.9                   ,219.2                   ,218.9                   ,214.2                   ,214.0                   ,224.7                   ,229.1                   ,229.4                   ,239.4                   ,256.8                   ,250.9                   
"    Navigational, measuring, and other instruments",287.0                   ,288.7                   ,357.9                   ,348.0                   ,351.0                   ,384.7                   ,343.8                   ,337.8                   ,341.3                   ,361.9                   ,338.4                   
"    Magnetic and optical media",0.5                     ,"(*)","(*)","(*)","(*)",3.6                     ,"G","G","G","G","G"
"  Electrical equipment, appliances, and components",263.5                   ,238.0                   ,242.2                   ,268.7                   ,261.9                   ,278.9                   ,273.5                   ,280.2                   ,272.6                   ,306.8                   ,291.0                   
"  Transportation equipment",1620.3                 ,1624.4                 ,1544.3                 ,1572.8                 ,1545.5                 ,1632.1                 ,1520.1                 ,1435.1                 ,1472.3                 ,1422.8                 ,1410.6                 
"    Motor vehicles, bodies and trailers, and parts",584.6                   ,588.8                   ,613.8                   ,627.8                   ,620.5                   ,678.5                   ,622.8                   ,647.4                   ,682.4                   ,603.9                   ,599.4                   
"    Other",1035.7                 ,1035.6                 ,930.6                   ,945.0                   ,925.0                   ,953.6                   ,897.3                   ,787.7                   ,789.8                   ,818.8                   ,811.2                   
"  Furniture and related products",79.1                    ,75.4                    ,82.2                    ,79.2                    ,82.4                    ,94.6                    ,82.2                    ,83.5                    ,83.6                    ,94.4                    ,66.9                    
"  Miscellaneous manufacturing",300.7                   ,314.5                   ,316.8                   ,310.9                   ,304.9                   ,411.9                   ,470.6                   ,503.4                   ,494.9                   ,520.3                   ,482.1                   
"Wholesale trade",1065.4                 ,1080.6                 ,1107.6                 ,1101.8                 ,1421.0                 ,1815.9                 ,1871.8                 ,1683.3                 ,1772.0                 ,1787.3                 ,1774.7                 
"  Professional and commercial equipment and supplies",103.2                   ,109.0                   ,108.3                   ,111.1                   ,122.2                   ,143.3                   ,148.6                   ,149.5                   ,157.5                   ,161.1                   ,146.9                   
"  Petroleum and petroleum products",24.9                    ,25.3                    ,26.8                    ,28.3                    ,29.5                    ,27.7                    ,33.2                    ,34.8                    ,55.5                    ,56.8                    ,57.8                    
"  Drugs and druggists' sundries",112.6                   ,120.2                   ,124.6                   ,88.2                    ,348.4                   ,366.3                   ,374.4                   ,114.9                   ,125.8                   ,130.8                   ,125.3                   
"  Other",824.7                   ,826.1                   ,847.9                   ,874.3                   ,920.8                   ,1278.6                 ,1315.6                 ,1384.0                 ,1433.2                 ,1438.5                 ,1444.6                 
"Retail trade",4349.7                 ,4313.2                 ,4405.6                 ,4285.9                 ,4436.6                 ,5467.3                 ,5609.8                 ,5891.7                 ,5800.8                 ,5838.2                 ,5877.0                 
"  General merchandise stores",2177.7                 ,2185.0                 ,2182.6                 ,2040.1                 ,2043.5                 ,2236.6                 ,2456.0                 ,2476.8                 ,2491.3                 ,2483.3                 ,2502.3                 
"  Clothing and clothing accessories stores",635.9                   ,680.7                   ,702.0                   ,730.8                   ,738.2                   ,919.8                   ,885.0                   ,885.9                   ,883.8                   ,883.6                   ,922.2                   
"  Other",1536.1                 ,1447.5                 ,1521.0                 ,1514.9                 ,1654.9                 ,2311.0                 ,2268.8                 ,2529.0                 ,2425.7                 ,2471.3                 ,2452.5                 
"Information",1711.5                 ,1626.4                 ,1718.8                 ,1741.8                 ,1722.3                 ,1998.9                 ,2041.3                 ,2164.0                 ,2161.0                 ,2204.1                 ,2197.3                 
"  Publishing industries",363.1                   ,352.6                   ,367.3                   ,365.1                   ,373.3                   ,433.7                   ,450.1                   ,449.1                   ,459.5                   ,491.2                   ,500.7                   
"  Motion picture and sound recording industries",63.1                    ,62.1                    ,62.4                    ,60.5                    ,47.9                    ,93.8                    ,101.8                   ,107.4                   ,113.7                   ,115.0                   ,107.1                   
"  Broadcasting (except internet) and telecommunications",929.4                   ,898.6                   ,951.6                   ,944.7                   ,936.9                   ,1044.6                 ,1035.1                 ,1065.0                 ,1075.8                 ,1074.6                 ,1053.2                 
"    Broadcasting (except internet)",199.5                   ,219.4                   ,354.0                   ,364.0                   ,366.4                   ,398.7                   ,402.4                   ,263.2                   ,265.0                   ,268.8                   ,275.8                   
"    Telecommunications",729.9                   ,679.2                   ,597.6                   ,580.7                   ,570.5                   ,645.9                   ,632.7                   ,801.9                   ,810.8                   ,805.8                   ,777.3                   
"  Data processing, hosting, and related services",119.9                   ,73.8                    ,82.8                    ,100.7                   ,110.7                   ,157.1                   ,160.7                   ,237.3                   ,221.5                   ,223.9                   ,211.9                   
"  Other information services",236.0                   ,239.4                   ,254.7                   ,270.8                   ,253.5                   ,269.8                   ,293.5                   ,305.1                   ,290.5                   ,299.4                   ,324.4                   
"Finance and insurance",2489.7                 ,2479.2                 ,2501.2                 ,2587.4                 ,2616.5                 ,2849.1                 ,2845.3                 ,2859.9                 ,2819.2                 ,2904.2                 ,2991.3                 
"  Depository credit intermediation (banking)",1175.0                 ,1139.4                 ,1149.1                 ,1157.3                 ,1146.4                 ,1079.3                 ,1040.9                 ,1010.5                 ,997.9                   ,1002.9                 ,1024.2                 
"  Finance, except depository institutions",516.2                   ,527.6                   ,522.0                   ,523.0                   ,546.3                   ,684.9                   ,697.2                   ,716.8                   ,732.8                   ,752.7                   ,755.9                   
"  Insurance carriers and related activities",798.4                   ,812.1                   ,830.1                   ,907.1                   ,923.9                   ,1084.9                 ,1107.3                 ,1132.5                 ,1088.5                 ,1148.6                 ,1211.2                 
"Professional, scientific, and technical services",1254.1                 ,1250.6                 ,1273.1                 ,1296.8                 ,1261.1                 ,1650.4                 ,1614.0                 ,1619.1                 ,1562.7                 ,1611.1                 ,1753.3                 
"  Architectural, engineering, and related services",204.1                   ,206.9                   ,209.9                   ,210.2                   ,178.0                   ,194.7                   ,225.0                   ,218.8                   ,194.5                   ,219.9                   ,244.7                   
"  Computer systems design and related services",417.9                   ,433.8                   ,442.7                   ,449.2                   ,434.0                   ,480.5                   ,465.6                   ,437.3                   ,390.8                   ,407.4                   ,446.5                   
"  Management, scientific, and technical consulting",67.6                    ,54.2                    ,42.3                    ,46.3                    ,50.8                    ,189.6                   ,200.4                   ,207.4                   ,263.9                   ,264.6                   ,271.1                   
"  Advertising and related Services",86.1                    ,85.0                    ,97.4                    ,100.3                   ,100.9                   ,120.3                   ,121.8                   ,139.9                   ,100.7                   ,102.9                   ,103.0                   
"  Other",478.4                   ,470.8                   ,480.7                   ,490.8                   ,497.3                   ,665.3                   ,601.1                   ,615.7                   ,612.8                   ,616.3                   ,688.0                   
"Other industries",5011.1                 ,4953.2                 ,4885.8                 ,4968.6                 ,4858.8                 ,6035.3                 ,6365.1                 ,6183.3                 ,6308.2                 ,6411.8                 ,7001.9                 
"  Agriculture, forestry, fishing, and hunting",54.2                    ,17.2                    ,27.5                    ,27.4                    ,31.7                    ,36.1                    ,45.1                    ,37.5                    ,35.5                    ,28.6                    ,40.8                    
"  Construction",228.6                   ,201.2                   ,197.2                   ,193.8                   ,199.3                   ,319.0                   ,326.0                   ,361.1                   ,354.3                   ,337.1                   ,379.8                   
"  Utilities",157.8                   ,150.6                   ,158.8                   ,162.8                   ,153.8                   ,205.5                   ,184.1                   ,174.3                   ,172.9                   ,160.0                   ,168.6                   
"  Transportation and warehousing",1013.4                 ,1010.6                 ,1007.5                 ,1110.5                 ,1027.3                 ,1340.8                 ,1373.8                 ,1363.8                 ,1392.3                 ,1474.0                 ,1468.6                 
"  Real estate and rental and leasing",230.0                   ,210.8                   ,210.6                   ,235.1                   ,236.6                   ,297.7                   ,321.4                   ,354.0                   ,358.7                   ,362.3                   ,393.9                   
"  Management of nonbank companies and enterprises",2.4                     ,2.2                     ,3.0                     ,3.1                     ,3.3                     ,9.6                     ,7.3                     ,7.8                     ,7.8                     ,8.0                     ,9.5                     
"  Administration, support, and waste management",1036.4                 ,1150.9                 ,1129.1                 ,1037.3                 ,1052.1                 ,1189.6                 ,1234.6                 ,1136.6                 ,1196.7                 ,1238.9                 ,1356.6                 
"  Health care and social assistance",445.3                   ,441.2                   ,399.1                   ,436.4                   ,385.8                   ,638.7                   ,873.4                   ,822.2                   ,810.6                   ,828.1                   ,1101.0                 
"  Accommodation and food services",1344.6                 ,1276.7                 ,1260.9                 ,1273.1                 ,1289.8                 ,1468.6                 ,1528.2                 ,1427.0                 ,1435.1                 ,1433.2                 ,1493.9                 
"  Miscellaneous services",498.3                   ,491.8                   ,492.2                   ,489.2                   ,479.0                   ,529.7                   ,471.3                   ,498.9                   ,544.3                   ,541.7                   ,589.2                   
"Legend / Footnotes:"
"<strong>n.s.</strong>  Not shown.  Data may not be shown for several reasons:"
"• The data appear on another line in this table."
"• The data are not shown in this table but may be available in detailed country- or industry-level tables in this interactive system or in other BEA published tables on direct investment."
"• The data are not available, do not apply, or are not defined."
"<strong>(*)</strong> A nonzero value that rounds to zero."
"<strong>(D)</strong> indicates that the data in the cell have been suppressed to avoid disclosure of data of individual companies."
"Size ranges are given in employment cells that are suppressed.  The size ranges are: A--1 to 499; F--500 to 999; G--1,000 to 2,499; H--2,500 to 4,999; I--5,000 to 9,999; J--10,000 to 24,999; K--25,000 to 49,999; L--50,000 to 99,999; M--100,000 or more."
"Source: U.S. Bureau of Economic Analysis"
"Data users should be aware that the increase in most U.S. MNE activities from 2013 to 2014 appears to largely reflect the improved coverage of these activities in the 2014 Benchmark Survey of U.S. Direct Investment Abroad.  For more information see <a href=""http://www.bea.gov/international/pdf/usdia_2014p/USDIA 14-P Coverage Improvements.pdf"">Improvements in Coverage.</a>"
"If you have a question about the availability of data, E-mail your question to <a href=""mailto:internationalaccounts@bea.gov"">internationalaccounts@bea.gov</a>"
