"    Communications equipment",7991                   ,8059                   ,9524                   ,7440                   ,7500                   ,8314                   ,9182                   ,9863                   ,9216                   ,9536                   ,8639                   
"    Audio and video equipment","(D)",682                     ,723                     ,684                     ,675                     ,"(D)",859                     ,835                     ,420                     ,698                     ,661                     
"    Semiconductors and other electronic components",12893                  ,13648                  ,15716                  ,17367                  ,17135                  ,18893                  ,18532                  ,19915                  ,21751                  ,22672                  ,21899                  
"    Navigational, measuring, and other instruments",7557                   ,7228                   ,9870                   ,10433                  ,10756                  ,12940                  ,11355                  ,11330                  ,11437                  ,13055                  ,12721                  
"    Magnetic and optical media","(D)",0                       ,0                       ,0                       ,0                       ,"(D)",0                       ,0                       ,0                       ,0                       ,0                       
"  Electrical equipment, appliances, and components",3040                   ,3059                   ,3623                   ,4215                   ,4067                   ,4136                   ,4054                   ,4249                   ,4355                   ,4416                   ,4482                   
"  Transportation equipment",48960                  ,40224                  ,35307                  ,33863                  ,36250                  ,38353                  ,38507                  ,40285                  ,41204                  ,40469                  ,39175                  
"    Motor vehicles, bodies and trailers, and parts",10316                  ,12387                  ,12433                  ,12705                  ,15124                  ,15645                  ,15567                  ,16979                  ,18543                  ,18232                  ,15974                  
"    Other",38643                  ,27837                  ,22874                  ,21158                  ,21127                  ,22708                  ,22940                  ,23306                  ,22661                  ,22237                  ,23201                  
"  Furniture and related products",237                     ,216                     ,243                     ,235                     ,237                     ,632                     ,542                     ,595                     ,628                     ,710                     ,208                     
"  Miscellaneous manufacturing",6317                   ,7030                   ,7123                   ,"(D)",7749                   ,8920                   ,8133                   ,9009                   ,8694                   ,9596                   ,9224                   
"Wholesale trade",6440                   ,6299                   ,6921                   ,8056                   ,8482                   ,10262                  ,8726                   ,7521                   ,7821                   ,8483                   ,7630                   
"  Professional and commercial equipment and supplies",1173                   ,1638                   ,1915                   ,1936                   ,2086                   ,2011                   ,2329                   ,1953                   ,1871                   ,1905                   ,732                     
"  Petroleum and petroleum products","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",283                     ,286                     
"  Drugs and druggists' sundries",1322                   ,1363                   ,1453                   ,1522                   ,1597                   ,2506                   ,2272                   ,2040                   ,2187                   ,3093                   ,3184                   
"  Other","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",3202                   ,3427                   
"Retail trade","(D)","(D)","(D)","(D)","(D)",2959                   ,2125                   ,2198                   ,2368                   ,2664                   ,2610                   
"  General merchandise stores",0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       
"  Clothing and clothing accessories stores",8                       ,"(D)",8                       ,"(D)","(D)","(D)","(D)","(D)","(D)",15                      ,15                      
"  Other","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",2649                   ,2594                   
"Information",21035                  ,22577                  ,24996                  ,29013                  ,31593                  ,38638                  ,44192                  ,48403                  ,51467                  ,63899                  ,78611                  
"  Publishing industries",14456                  ,14713                  ,15188                  ,16261                  ,17000                  ,18546                  ,18954                  ,20015                  ,20811                  ,24957                  ,27013                  
"  Motion picture and sound recording industries","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"  Broadcasting (except internet) and telecommunications",1128                   ,1157                   ,1443                   ,1570                   ,1796                   ,2718                   ,2731                   ,2936                   ,2845                   ,3740                   ,3867                   
"    Broadcasting (except internet)","(D)","(D)",70                      ,71                      ,96                      ,56                      ,54                      ,45                      ,144                     ,170                     ,246                     
"    Telecommunications","(D)","(D)",1374                   ,1499                   ,1699                   ,2663                   ,2677                   ,2891                   ,2702                   ,3570                   ,3620                   
"  Data processing, hosting, and related services",750                     ,805                     ,930                     ,991                     ,1165                   ,1869                   ,2362                   ,2716                   ,3099                   ,3380                   ,6338                   
"  Other information services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"Finance and insurance",186                     ,384                     ,469                     ,522                     ,596                     ,523                     ,610                     ,1514                   ,1534                   ,1737                   ,2742                   
"  Depository credit intermediation (banking)",0                       ,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"  Finance, except depository institutions","(D)","(D)","(D)",179                     ,203                     ,198                     ,203                     ,1096                   ,1076                   ,1147                   ,2096                   
"  Insurance carriers and related activities","(D)",71                      ,112                     ,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"Professional, scientific, and technical services",15931                  ,18056                  ,21614                  ,22466                  ,24065                  ,26404                  ,25277                  ,24170                  ,24686                  ,25754                  ,29940                  
"  Architectural, engineering, and related services",42                      ,118                     ,"(D)","(D)","(D)","(D)","(D)","(D)","(D)",2049                   ,2113                   
"  Computer systems design and related services",10134                  ,11135                  ,12737                  ,13358                  ,13650                  ,14003                  ,15033                  ,13859                  ,13285                  ,13530                  ,16017                  
"  Management, scientific, and technical consulting",71                      ,"(D)","(D)","(D)","(D)",78                      ,"(D)","(D)","(D)","(D)",1133                   
"  Advertising and related Services",1                       ,"(D)","(D)","(D)","(D)","(D)",160                     ,179                     ,149                     ,145                     ,"(D)"
"  Other",5683                   ,6715                   ,7419                   ,7551                   ,"(D)",9624                   ,8271                   ,8050                   ,8735                   ,"(D)","(D)"
"Other industries","(D)","(D)","(D)","(D)","(D)",8143                   ,9607                   ,9366                   ,9993                   ,9360                   ,8737                   
"  Agriculture, forestry, fishing, and hunting","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",24                      ,63                      
"  Construction",4                       ,"(D)","(D)",112                     ,104                     ,160                     ,86                      ,78                      ,96                      ,126                     ,179                     
"  Utilities",6                       ,12                      ,15                      ,16                      ,29                      ,9                       ,10                      ,8                       ,48                      ,"(D)","(D)"
"  Transportation and warehousing",68                      ,55                      ,36                      ,72                      ,77                      ,55                      ,57                      ,"(D)",51                      ,50                      ,"(D)"
"  Real estate and rental and leasing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"  Management of nonbank companies and enterprises",0                       ,"(*)","(*)",0                       ,0                       ,0                       ,0                       ,"(*)",1                       ,0                       ,0                       
"  Administration, support, and waste management","(D)",988                     ,"(D)","(D)","(D)",718                     ,651                     ,480                     ,640                     ,710                     ,1703                   
"  Health care and social assistance","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",2111                   
"  Accommodation and food services",37                      ,51                      ,51                      ,49                      ,35                      ,53                      ,"(D)",132                     ,460                     ,"(D)",180                     
"  Miscellaneous services",344                     ,338                     ,372                     ,202                     ,213                     ,660                     ,578                     ,342                     ,322                     ,337                     ,"(D)"
"Legend / Footnotes:"
"<strong>n.s.</strong>  Not shown.  Data may not be shown for several reasons:"
"• The data appear on another line in this table."
"• The data are not shown in this table but may be available in detailed country- or industry-level tables in this interactive system or in other BEA published tables on direct investment."
"• The data are not available, do not apply, or are not defined."
"<strong>(*)</strong> A nonzero value that rounds to zero."
"<strong>(D)</strong> indicates that the data in the cell have been suppressed to avoid disclosure of data of individual companies."
"Source: U.S. Bureau of Economic Analysis"
"Data users should be aware that the increase in most U.S. MNE activities from 2013 to 2014 appears to largely reflect the improved coverage of these activities in the 2014 Benchmark Survey of U.S. Direct Investment Abroad.  For more information see <a href=""http://www.bea.gov/international/pdf/usdia_2014p/USDIA 14-P Coverage Improvements.pdf"">Improvements in Coverage.</a>"
"If you have a question about the availability of data, E-mail your question to <a href=""mailto:internationalaccounts@bea.gov"">internationalaccounts@bea.gov</a>"
