"    Telecommunications","(D)","(D)",39                      ,"(D)","(D)",300                     ,288                     ,250                     ,"(D)","(D)","(D)"
"  Data processing, hosting, and related services","(D)","(D)","(D)","(D)","(D)",11                      ,12                      ,"(D)","(D)","(D)","(D)"
"  Other information services","(D)","(D)","(D)","(D)","(D)","(D)","(D)",406                     ,194                     ,209                     ,"(D)"
"Finance and insurance","(D)","(D)","(D)","(D)","(D)",180                     ,140                     ,196                     ,219                     ,234                     ,758                     
"  Depository credit intermediation (banking)",0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       
"  Finance, except depository institutions","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"  Insurance carriers and related activities",0                       ,0                       ,0                       ,0                       ,0                       ,"(D)","(D)","(D)","(D)","(D)","(D)"
"Professional, scientific, and technical services",490                     ,"(D)","(D)","(D)","(D)",1153                   ,1318                   ,1276                   ,1425                   ,"(D)",1432                   
"  Architectural, engineering, and related services","(D)",222                     ,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"  Computer systems design and related services","(D)","(D)","(D)","(D)","(D)",161                     ,"(D)",108                     ,"(D)","(D)","(D)"
"  Management, scientific, and technical consulting","(*)","(*)","(*)","(*)","(*)",5                       ,5                       ,1                       ,1                       ,1                       ,1                       
"  Advertising and related Services",0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       
"  Other",76                      ,55                      ,62                      ,"(D)","(D)","(D)","(D)","(D)","(D)",171                     ,214                     
"Other industries",3011                   ,2568                   ,3573                   ,"(D)",3006                   ,3496                   ,3359                   ,3214                   ,15981                  ,"(D)",7628                   
"  Agriculture, forestry, fishing, and hunting",959                     ,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",1299                   
"  Construction","(D)","(D)","(D)","(D)",252                     ,356                     ,339                     ,"(D)","(D)","(D)","(D)"
"  Utilities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"  Transportation and warehousing","(D)","(D)","(D)",396                     ,508                     ,625                     ,506                     ,"(D)","(D)",501                     ,156                     
"  Real estate and rental and leasing","(D)","(D)","(D)","(D)","(D)",215                     ,248                     ,168                     ,48                      ,"(D)","(D)"
"  Management of nonbank companies and enterprises",0                       ,0                       ,0                       ,"(D)","(D)","(D)","(D)","(D)","(*)","(*)",1                       
"  Administration, support, and waste management","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",572                     ,474                     
"  Health care and social assistance",0                       ,0                       ,0                       ,0                       ,0                       ,"(D)",135                     ,"(D)","(D)","(D)",106                     
"  Accommodation and food services","(D)","(D)","(D)",83                      ,45                      ,"(D)",70                      ,"(D)","(D)",267                     ,"(D)"
"  Miscellaneous services","(D)","(D)","(D)","(D)","(D)",468                     ,"(D)",536                     ,"(D)","(D)","(D)"
"Legend / Footnotes:"
"<strong>n.s.</strong>  Not shown.  Data may not be shown for several reasons:"
"• The data appear on another line in this table."
"• The data are not shown in this table but may be available in detailed country- or industry-level tables in this interactive system or in other BEA published tables on direct investment."
"• The data are not available, do not apply, or are not defined."
"<strong>(*)</strong> A nonzero value that rounds to zero."
"<strong>(D)</strong> indicates that the data in the cell have been suppressed to avoid disclosure of data of individual companies."
"Source: U.S. Bureau of Economic Analysis"
"Data users should be aware that the increase in most U.S. MNE activities from 2013 to 2014 appears to largely reflect the improved coverage of these activities in the 2014 Benchmark Survey of U.S. Direct Investment Abroad.  For more information see <a href=""http://www.bea.gov/international/pdf/usdia_2014p/USDIA 14-P Coverage Improvements.pdf"">Improvements in Coverage.</a>"
"If you have a question about the availability of data, E-mail your question to <a href=""mailto:internationalaccounts@bea.gov"">internationalaccounts@bea.gov</a>"
