"    Resins and synthetic rubber, fibers, and filaments",2947                   ,3558                   ,4208                   ,4305                   ,4435                   ,4171                   ,4953                   ,4496                   ,4504                   ,4712                   ,4598                   
"    Pharmaceuticals and medicines",27391                  ,31404                  ,33100                  ,32609                  ,37715                  ,48041                  ,43928                  ,49783                  ,45994                  ,50071                  ,47296                  
"    Soap, cleaning compounds, and toilet preparations",1269                   ,1459                   ,1659                   ,1670                   ,1811                   ,2547                   ,2436                   ,2622                   ,2250                   ,2326                   ,2266                   
"    Other",2212                   ,2280                   ,2247                   ,3321                   ,2945                   ,4384                   ,3374                   ,2630                   ,3128                   ,3453                   ,2907                   
"  Plastics and rubber products",2748                   ,3746                   ,4544                   ,4751                   ,4336                   ,3906                   ,3485                   ,3630                   ,3390                   ,3747                   ,4239                   
"  Nonmetallic mineral products",568                     ,425                     ,502                     ,471                     ,451                     ,678                     ,681                     ,668                     ,756                     ,769                     ,659                     
"  Primary and fabricated metals",4055                   ,4650                   ,6263                   ,5858                   ,4243                   ,4841                   ,6081                   ,4834                   ,5435                   ,7265                   ,6694                   
"    Primary metals",2289                   ,2669                   ,4234                   ,3542                   ,2995                   ,3121                   ,3372                   ,3335                   ,3736                   ,5025                   ,4338                   
"    Fabricated metal products",1766                   ,1981                   ,2029                   ,2316                   ,1248                   ,1721                   ,2709                   ,1498                   ,1699                   ,2240                   ,2356                   
"  Machinery",8592                   ,10252                  ,13838                  ,14401                  ,15449                  ,18143                  ,17862                  ,16877                  ,18151                  ,19296                  ,20960                  
"    Agriculture, construction, and mining machinery",4703                   ,6237                   ,8703                   ,9546                   ,10177                  ,10873                  ,9750                   ,9449                   ,9295                   ,10021                  ,10368                  
"    Industrial machinery",1432                   ,1194                   ,1906                   ,1705                   ,1667                   ,1877                   ,1883                   ,1839                   ,1466                   ,2013                   ,1888                   
"    Other",2456                   ,2821                   ,3229                   ,3149                   ,3605                   ,5394                   ,6229                   ,5589                   ,7390                   ,7263                   ,8703                   
"  Computers and electronic products",29386                  ,33448                  ,29706                  ,33948                  ,33388                  ,42169                  ,44516                  ,45336                  ,45881                  ,52242                  ,50140                  
"    Computers and peripheral equipment",11345                  ,13759                  ,9356                   ,11094                  ,10958                  ,10682                  ,11158                  ,11764                  ,12115                  ,12564                  ,11738                  
"    Communications equipment","(D)",2424                   ,1774                   ,774                     ,953                     ,"(D)",8744                   ,8942                   ,8476                   ,"(D)","(D)"
"    Audio and video equipment","(D)",124                     ,203                     ,173                     ,166                     ,"(D)","(D)","(D)","(D)","(D)","(D)"
"    Semiconductors and other electronic components",11542                  ,12242                  ,12036                  ,14739                  ,13516                  ,13080                  ,14534                  ,13942                  ,14157                  ,14260                  ,14160                  
"    Navigational, measuring, and other instruments",4055                   ,4899                   ,6336                   ,7168                   ,7795                   ,9730                   ,9557                   ,10179                  ,10635                  ,11295                  ,10016                  
"    Magnetic and optical media",4                       ,0                       ,0                       ,0                       ,0                       ,"(D)","(D)","(D)","(D)","(D)",0                       
"  Electrical equipment, appliances, and components",6181                   ,6144                   ,7053                   ,7482                   ,6954                   ,9413                   ,8809                   ,6663                   ,6668                   ,7179                   ,6905                   
"  Transportation equipment",68246                  ,78042                  ,84831                  ,90571                  ,99044                  ,102583                 ,103098                 ,107159                 ,113838                 ,115448                 ,114021                 
"    Motor vehicles, bodies and trailers, and parts",57167                  ,67052                  ,73517                  ,78173                  ,87655                  ,90248                  ,91238                  ,94522                  ,101730                 ,102409                 ,102660                 
"    Other",11078                  ,10991                  ,11314                  ,12398                  ,11389                  ,12335                  ,11859                  ,12637                  ,12108                  ,13040                  ,11360                  
"  Furniture and related products",487                     ,467                     ,708                     ,935                     ,998                     ,840                     ,714                     ,635                     ,688                     ,815                     ,482                     
"  Miscellaneous manufacturing",5976                   ,8856                   ,"(D)",11544                  ,10863                  ,"(D)",14971                  ,19622                  ,18877                  ,21452                  ,21516                  
"Wholesale trade",12082                  ,11460                  ,13106                  ,21154                  ,22461                  ,25452                  ,26247                  ,26158                  ,27616                  ,24983                  ,33158                  
"  Professional and commercial equipment and supplies",518                     ,614                     ,543                     ,623                     ,719                     ,592                     ,718                     ,867                     ,718                     ,713                     ,546                     
"  Petroleum and petroleum products","(D)","(D)","(D)","(D)","(D)",612                     ,645                     ,624                     ,762                     ,737                     ,780                     
"  Drugs and druggists' sundries",929                     ,948                     ,1014                   ,489                     ,718                     ,1286                   ,1096                   ,1772                   ,2443                   ,2370                   ,2652                   
"  Other","(D)","(D)","(D)","(D)","(D)",22962                  ,23789                  ,22895                  ,23693                  ,21163                  ,29181                  
"Retail trade",2048                   ,2533                   ,2333                   ,2551                   ,2668                   ,6306                   ,6087                   ,5714                   ,5972                   ,6923                   ,7181                   
"  General merchandise stores","(D)","(D)","(D)","(D)","(D)",903                     ,774                     ,351                     ,326                     ,376                     ,445                     
"  Clothing and clothing accessories stores","(D)","(D)",1863                   ,"(D)",1907                   ,4521                   ,4426                   ,4217                   ,3620                   ,4641                   ,4514                   
"  Other",527                     ,522                     ,"(D)",384                     ,"(D)",883                     ,887                     ,1147                   ,2027                   ,1905                   ,2223                   
"Information","(D)",194                     ,"(D)","(D)",819                     ,770                     ,325                     ,2038                   ,2193                   ,2137                   ,2420                   
"  Publishing industries",55                      ,"(D)","(D)","(D)",534                     ,"(D)","(D)","(D)",370                     ,399                     ,594                     
"  Motion picture and sound recording industries","(D)","(D)","(D)","(D)","(D)","(*)",0                       ,0                       ,"(*)",0                       ,"(*)"
"  Broadcasting (except internet) and telecommunications","(D)",1                       ,1                       ,"(*)",1                       ,5                       ,7                       ,2                       ,"(D)","(D)","(D)"
"    Broadcasting (except internet)",0                       ,0                       ,0                       ,0                       ,0                       ,4                       ,4                       ,"(*)","(*)",0                       ,0                       
"    Telecommunications","(D)",1                       ,1                       ,"(*)",1                       ,1                       ,2                       ,1                       ,"(D)","(D)","(D)"
"  Data processing, hosting, and related services",0                       ,0                       ,0                       ,0                       ,1                       ,0                       ,0                       ,"(D)","(D)","(D)","(D)"
"  Other information services","(*)",5                       ,6                       ,4                       ,"(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"Finance and insurance","(D)","(D)","(D)","(D)","(D)","(D)",84                      ,104                     ,69                      ,68                      ,67                      
"  Depository credit intermediation (banking)",0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       
"  Finance, except depository institutions","(D)","(D)","(D)",0                       ,0                       ,"(D)","(D)","(D)","(D)","(D)","(D)"
"  Insurance carriers and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"Professional, scientific, and technical services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"  Architectural, engineering, and related services","(D)",86                      ,64                      ,68                      ,84                      ,83                      ,104                     ,65                      ,"(D)","(D)",75                      
"  Computer systems design and related services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"  Management, scientific, and technical consulting","(*)","(*)","(*)","(*)","(*)","(D)","(*)","(*)","(*)","(*)",0                       
"  Advertising and related Services",0                       ,2                       ,2                       ,3                       ,3                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       
"  Other",2                       ,2                       ,2                       ,2                       ,2                       ,"(D)",6                       ,6                       ,6                       ,"(D)",40                      
"Other industries",1416                   ,"(D)","(D)",2390                   ,"(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"  Agriculture, forestry, fishing, and hunting",21                      ,22                      ,"(D)","(D)","(D)","(D)",363                     ,105                     ,169                     ,34                      ,618                     
"  Construction",85                      ,65                      ,"(D)","(D)","(D)","(D)",872                     ,805                     ,588                     ,"(D)","(D)"
"  Utilities",92                      ,"(D)","(D)","(D)",1249                   ,249                     ,158                     ,121                     ,"(D)","(D)","(D)"
"  Transportation and warehousing","(D)","(D)","(D)",6                       ,"(D)","(D)",12                      ,11                      ,10                      ,"(D)",39                      
"  Real estate and rental and leasing",385                     ,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",74                      
"  Management of nonbank companies and enterprises",0                       ,0                       ,0                       ,0                       ,0                       ,1                       ,1                       ,1                       ,1                       ,1                       ,0                       
"  Administration, support, and waste management","(D)","(D)","(D)","(D)","(D)","(D)","(D)",31                      ,32                      ,25                      ,17                      
"  Health care and social assistance",0                       ,"(D)","(D)","(D)","(D)","(D)","(D)",3                       ,3                       ,3                       ,7                       
"  Accommodation and food services","(D)","(*)","(*)","(*)","(*)",0                       ,0                       ,0                       ,0                       ,0                       ,0                       
"  Miscellaneous services","(D)",105                     ,131                     ,178                     ,187                     ,155                     ,141                     ,166                     ,167                     ,250                     ,328                     
"Legend / Footnotes:"
"<strong>n.s.</strong>  Not shown.  Data may not be shown for several reasons:"
"• The data appear on another line in this table."
"• The data are not shown in this table but may be available in detailed country- or industry-level tables in this interactive system or in other BEA published tables on direct investment."
"• The data are not available, do not apply, or are not defined."
"<strong>(*)</strong> A nonzero value that rounds to zero."
"<strong>(D)</strong> indicates that the data in the cell have been suppressed to avoid disclosure of data of individual companies."
"Source: U.S. Bureau of Economic Analysis"
"Data users should be aware that the increase in most U.S. MNE activities from 2013 to 2014 appears to largely reflect the improved coverage of these activities in the 2014 Benchmark Survey of U.S. Direct Investment Abroad.  For more information see <a href=""http://www.bea.gov/international/pdf/usdia_2014p/USDIA 14-P Coverage Improvements.pdf"">Improvements in Coverage.</a>"
"If you have a question about the availability of data, E-mail your question to <a href=""mailto:internationalaccounts@bea.gov"">internationalaccounts@bea.gov</a>"
