"Data on activities of multinational enterprises"
"U.S. Direct Investment Abroad,All U.S. Parent Companies (data for 2009 and forward),U.S. Imports of Goods Shipped to U.S. Parents by Foreigners Other Than Foreign Affiliates" 
"Bureau of Economic Analysis" 
"By Industry of U.S. Parent Company (NAICS) (Millions of Dollars) <br/>"
"","U.S. Imports of Goods by U.S. Parents from Foreigners Other Than Foreign Affiliates","U.S. Imports of Goods by U.S. Parents from Foreigners Other Than Foreign Affiliates","U.S. Imports of Goods by U.S. Parents from Foreigners Other Than Foreign Affiliates","U.S. Imports of Goods by U.S. Parents from Foreigners Other Than Foreign Affiliates","U.S. Imports of Goods by U.S. Parents from Foreigners Other Than Foreign Affiliates","U.S. Imports of Goods by U.S. Parents from Foreigners Other Than Foreign Affiliates","U.S. Imports of Goods by U.S. Parents from Foreigners Other Than Foreign Affiliates","U.S. Imports of Goods by U.S. Parents from Foreigners Other Than Foreign Affiliates","U.S. Imports of Goods by U.S. Parents from Foreigners Other Than Foreign Affiliates","U.S. Imports of Goods by U.S. Parents from Foreigners Other Than Foreign Affiliates","U.S. Imports of Goods by U.S. Parents from Foreigners Other Than Foreign Affiliates"
"    Communications equipment",3352                   ,3572                   ,6995                   ,1956                   ,2148                   ,"(D)",8076                   ,8574                   ,"(D)","(D)","(D)"
"    Audio and video equipment","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"    Semiconductors and other electronic components","(D)","(D)","(D)",3629                   ,3998                   ,3371                   ,3061                   ,3371                   ,3355                   ,3471                   ,3146                   
"    Navigational, measuring, and other instruments",5243                   ,"(D)","(D)","(D)","(D)",8678                   ,6285                   ,5901                   ,6402                   ,9634                   ,9953                   
"    Magnetic and optical media","(D)",0                       ,0                       ,0                       ,0                       ,"(D)","(D)","(D)","(D)","(D)",0                       
"  Electrical equipment, appliances, and components","(D)","(D)","(D)","(D)","(D)",10192                  ,9176                   ,9151                   ,10087                  ,10587                  ,9378                   
"  Transportation equipment",43029                  ,44811                  ,52066                  ,62487                  ,42231                  ,51033                  ,59218                  ,59853                  ,62564                  ,63298                  ,63703                  
"    Motor vehicles, bodies and trailers, and parts",29937                  ,"(D)","(D)","(D)","(D)",22138                  ,29542                  ,29021                  ,30840                  ,31009                  ,31583                  
"    Other",13092                  ,"(D)","(D)","(D)","(D)",28895                  ,29675                  ,30831                  ,31725                  ,32288                  ,32120                  
"  Furniture and related products",707                     ,533                     ,543                     ,580                     ,582                     ,728                     ,601                     ,622                     ,641                     ,620                     ,594                     
"  Miscellaneous manufacturing",2434                   ,2340                   ,"(D)","(D)",2683                   ,"(D)",3985                   ,4101                   ,4297                   ,4320                   ,4677                   
"Wholesale trade",127974                 ,134936                 ,138490                 ,156645                 ,168625                 ,208396                 ,221438                 ,221033                 ,226295                 ,225040                 ,223618                 
"  Professional and commercial equipment and supplies",16061                  ,"(D)",18204                  ,18363                  ,18004                  ,15793                  ,16190                  ,16005                  ,16093                  ,15393                  ,9934                   
"  Petroleum and petroleum products","(D)","(D)",4081                   ,3520                   ,3110                   ,9377                   ,10263                  ,10539                  ,23260                  ,30048                  ,32123                  
"  Drugs and druggists' sundries","(D)",1245                   ,1438                   ,1528                   ,1662                   ,2073                   ,1982                   ,1868                   ,1036                   ,1308                   ,1376                   
"  Other",107730                 ,112608                 ,114766                 ,133234                 ,145849                 ,181153                 ,193003                 ,192621                 ,185907                 ,178291                 ,180184                 
"Retail trade",50236                  ,50572                  ,53275                  ,55472                  ,56250                  ,60857                  ,66807                  ,77832                  ,78401                  ,78608                  ,78566                  
"  General merchandise stores","(D)","(D)","(D)","(D)","(D)",25409                  ,30194                  ,"(D)","(D)","(D)","(D)"
"  Clothing and clothing accessories stores","(D)","(D)","(D)",16882                  ,17378                  ,17760                  ,17991                  ,18314                  ,18323                  ,18253                  ,18048                  
"  Other","(D)","(D)","(D)","(D)","(D)",17687                  ,18622                  ,"(D)","(D)","(D)","(D)"
"Information","(D)","(D)",10204                  ,"(D)","(D)",7123                   ,"(D)",7371                   ,5480                   ,6981                   ,5955                   
"  Publishing industries","(D)","(D)","(D)",2455                   ,"(D)","(D)","(D)","(D)",3501                   ,4079                   ,3949                   
"  Motion picture and sound recording industries","(D)","(D)","(D)","(D)","(D)","(D)","(D)",6                       ,"(D)","(D)","(D)"
"  Broadcasting (except internet) and telecommunications","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"    Broadcasting (except internet)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"    Telecommunications",4                       ,3                       ,"(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"  Data processing, hosting, and related services",0                       ,0                       ,0                       ,0                       ,0                       ,2                       ,2                       ,"(D)","(D)","(D)","(D)"
"  Other information services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"Finance and insurance","(D)",32                      ,"(D)","(D)",39                      ,252                     ,212                     ,270                     ,247                     ,334                     ,363                     
"  Depository credit intermediation (banking)",0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       
"  Finance, except depository institutions","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"  Insurance carriers and related activities","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"Professional, scientific, and technical services","(D)","(D)","(D)","(D)","(D)",325                     ,567                     ,586                     ,602                     ,650                     ,627                     
"  Architectural, engineering, and related services","(D)","(D)",153                     ,161                     ,166                     ,"(D)","(D)","(D)","(D)","(D)","(D)"
"  Computer systems design and related services",35                      ,"(D)","(D)","(D)","(D)","(D)",5                       ,9                       ,1                       ,1                       ,"(D)"
"  Management, scientific, and technical consulting","(*)","(*)","(*)","(*)","(*)","(D)",1                       ,1                       ,1                       ,1                       ,"(*)"
"  Advertising and related Services",0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       ,0                       
"  Other",11                      ,"(D)","(D)","(D)","(D)",171                     ,"(D)","(D)","(D)","(D)",195                     
"Other industries",3015                   ,"(D)","(D)","(D)",4140                   ,5179                   ,"(D)",3232                   ,4224                   ,3521                   ,4481                   
"  Agriculture, forestry, fishing, and hunting","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",105                     
"  Construction","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"  Utilities","(D)","(D)","(D)",24                      ,"(D)",35                      ,"(D)","(D)","(D)","(D)","(D)"
"  Transportation and warehousing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)",331                     ,395                     
"  Real estate and rental and leasing","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"  Management of nonbank companies and enterprises",0                       ,0                       ,0                       ,0                       ,0                       ,1                       ,1                       ,1                       ,1                       ,1                       ,"(*)"
"  Administration, support, and waste management","(D)","(D)","(D)","(D)","(D)",1194                   ,881                     ,"(D)","(D)","(D)","(D)"
"  Health care and social assistance",0                       ,0                       ,"(*)","(*)","(*)","(D)","(D)","(D)","(D)","(D)",149                     
"  Accommodation and food services","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)","(D)"
"  Miscellaneous services","(D)","(D)",87                      ,"(D)","(D)",619                     ,534                     ,669                     ,"(D)","(D)","(D)"
"Legend / Footnotes:"
"<strong>n.s.</strong>  Not shown.  Data may not be shown for several reasons:"
"• The data appear on another line in this table."
"• The data are not shown in this table but may be available in detailed country- or industry-level tables in this interactive system or in other BEA published tables on direct investment."
"• The data are not available, do not apply, or are not defined."
"<strong>(*)</strong> A nonzero value that rounds to zero."
"<strong>(D)</strong> indicates that the data in the cell have been suppressed to avoid disclosure of data of individual companies."
"Source: U.S. Bureau of Economic Analysis"
"Data users should be aware that the increase in most U.S. MNE activities from 2013 to 2014 appears to largely reflect the improved coverage of these activities in the 2014 Benchmark Survey of U.S. Direct Investment Abroad.  For more information see <a href=""http://www.bea.gov/international/pdf/usdia_2014p/USDIA 14-P Coverage Improvements.pdf"">Improvements in Coverage.</a>"
"If you have a question about the availability of data, E-mail your question to <a href=""mailto:internationalaccounts@bea.gov"">internationalaccounts@bea.gov</a>"
